Date : 2026-03-24 14:03:59
Directory : c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app
Total : 64 files,  26080 codes, 42 comments, 145 blanks, all 26267 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| JSON     |         12 |     24,526 |          0 |          1 |     24,527 |
| Dart     |         52 |      1,554 |         42 |        144 |      1,740 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\notifications\presentation\pages\notification_hub_page.dart                 | Dart     |          1 |          0 |          0 |          1 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\notifications\presentation\pages\settings\_notification_settings_sheet.dart | Dart     |          1 |          0 |          1 |          2 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\notifications\presentation\widgets\streak_badge.dart                        | Dart     |          1 |          0 |          1 |          2 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\notifications\presentation\widgets\streak_summary_card.dart                 | Dart     |          1 |          0 |          0 |          1 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\onboarding\presentation\pages\language_selection_page.dart                  | Dart     |        146 |          8 |         17 |        171 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\prayers\presentation\pages\adhan_settings_page.dart                         | Dart     |          5 |          0 |          0 |          5 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\prayers\presentation\pages\prayers_page.dart                                | Dart     |          7 |          1 |          0 |          8 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\quran\presentation\pages\quran_page.dart                                    | Dart     |          7 |          0 |          0 |          7 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\quran\presentation\pages\surah_detail_page.dart                             | Dart     |          5 |          0 |          0 |          5 |
| c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\quran\presentation\riverpod\quran_data_provider.dart                        | Dart     |          6 |          3 |          4 |         13 |
